observation_date,DEXUSUK,Return,Log_Return
02-01-80,2.2427,,
03-01-80,2.24,-0.001203906,-0.001204631
04-01-80,2.237,-0.001339286,-0.001340183
07-01-80,2.2615,0.010952168,0.010892627
08-01-80,2.262,0.000221092,0.000221068
09-01-80,2.266,0.001768347,0.001766785
10-01-80,2.258,-0.00353045,-0.003536697
11-01-80,2.257,-0.00044287,-0.000442968
14-01-80,2.2755,0.008196721,0.008163311
15-01-80,2.2765,0.000439464,0.000439367
16-01-80,2.271,-0.002415989,-0.002418913
17-01-80,2.277,0.002642008,0.002638524
18-01-80,2.2855,0.003732982,0.003726032
21-01-80,2.2835,-0.000875082,-0.000875465
22-01-80,2.275,-0.003722356,-0.003729301
23-01-80,2.2775,0.001098901,0.001098298
24-01-80,2.2778,0.000131723,0.000131715
25-01-80,2.261,-0.007375538,-0.007402872
28-01-80,2.2475,-0.005970809,-0.005988706
29-01-80,2.2495,0.000889878,0.000889482
30-01-80,2.262,0.00555679,0.005541408
31-01-80,2.2667,0.002077807,0.002075652
01-02-80,2.274,0.003220541,0.003215366
04-02-80,2.2865,0.005496922,0.005481869
05-02-80,2.2905,0.001749399,0.00174787
06-02-80,2.312,0.009386597,0.009342816
07-02-80,2.3015,-0.004541522,-0.004551867
08-02-80,2.298,-0.001520747,-0.001521905
11-02-80,2.3047,0.002915579,0.002911337
12-02-80,,-1,
13-02-80,2.308,#DIV/0!,
14-02-80,2.3131,0.002209705,0.000958604
15-02-80,2.295,-0.007824997,-0.003411719
18-02-80,,-1,
19-02-80,2.272,#DIV/0!,
20-02-80,2.2794,0.003257042,0.001412217
21-02-80,2.2865,0.003114855,0.001350662
22-02-80,2.2745,-0.005248196,-0.002285265
25-02-80,2.276,0.000659486,0.000286317
26-02-80,2.2767,0.000307557,0.00013355
27-02-80,2.287,0.004524092,0.001960357
28-02-80,2.2848,-0.000961959,-0.000417975
29-02-80,2.273,-0.005164566,-0.002248754
03-03-80,2.242,-0.013638363,-0.005963827
04-03-80,2.235,-0.003122212,-0.001358081
05-03-80,2.24,0.002237136,0.000970491
06-03-80,2.2335,-0.002901786,-0.001262062
07-03-80,2.227,-0.002910231,-0.00126574
10-03-80,2.2168,-0.004580153,-0.001993704
11-03-80,2.2265,0.004375677,0.001896187
12-03-80,2.2335,0.003143948,0.001363257
13-03-80,2.223,-0.004701142,-0.002046494
14-03-80,2.213,-0.004498426,-0.001958049
17-03-80,2.1875,-0.01152282,-0.005033352
18-03-80,2.186,-0.000685714,-0.000297904
19-03-80,2.1905,0.002058554,0.0008931
20-03-80,2.194,0.001597809,0.000693366
21-03-80,2.1835,-0.004785779,-0.002083427
24-03-80,2.186,0.001144951,0.000496961
25-03-80,2.1885,0.001143641,0.000496393
26-03-80,2.1855,-0.001370802,-0.00059574
27-03-80,2.174,-0.005261954,-0.002291271
28-03-80,2.169,-0.002299908,-0.000999988
31-03-80,2.16,-0.004149378,-0.001805801
01-04-80,2.1515,-0.003935185,-0.001712401
02-04-80,2.154,0.00116198,0.000504349
03-04-80,2.139,-0.006963788,-0.003034914
04-04-80,2.135,-0.001870033,-0.000812905
07-04-80,2.14,0.00234192,0.001015894
08-04-80,2.179,0.018224299,0.007843457
09-04-80,2.186,0.003212483,0.001392927
10-04-80,2.1915,0.002516011,0.001091317
11-04-80,2.195,0.00159708,0.00069305
14-04-80,2.2035,0.003872437,0.00167853
15-04-80,2.1875,-0.007261175,-0.003164993
16-04-80,2.217,0.013485714,0.005817631
17-04-80,2.215,-0.00090212,-0.000391963
18-04-80,2.2185,0.001580135,0.000685702
21-04-80,2.242,0.010592743,0.004576175
22-04-80,2.2345,-0.003345227,-0.001455249
23-04-80,2.269,0.015439696,0.006654137
24-04-80,2.2635,-0.002423975,-0.001053997
25-04-80,2.2735,0.004417937,0.00191446
28-04-80,2.283,0.004178579,0.001810953
29-04-80,2.2695,-0.005913272,-0.002575724
30-04-80,2.2585,-0.004846883,-0.002110092
01-05-80,2.259,0.000221386,9.6136E-05
02-05-80,2.2555,-0.001549358,-0.000673399
05-05-80,2.278,0.009975615,0.004310888
06-05-80,2.2795,0.000658472,0.000285877
07-05-80,2.2815,0.000877385,0.000380877
08-05-80,2.285,0.001534078,0.000665731
09-05-80,2.267,-0.007877462,-0.003434684
12-05-80,2.281,0.006175562,0.002673765
13-05-80,2.279,-0.000876808,-0.00038096
14-05-80,2.2975,0.008117595,0.003511195
15-05-80,2.3005,0.001305767,0.000566718
16-05-80,2.284,-0.007172354,-0.003126138
19-05-80,2.2835,-0.000218914,-9.50836E-05
20-05-80,2.291,0.003284432,0.001424073
21-05-80,2.3305,0.017241379,0.007424018
22-05-80,2.3285,-0.000858185,-0.000372865
23-05-80,2.344,0.006656646,0.002881365
26-05-80,,-1,
27-05-80,2.37,#DIV/0!,
28-05-80,2.359,-0.00464135,-0.002020405
29-05-80,2.346,-0.00551081,-0.002399933
30-05-80,2.3425,-0.001491901,-0.000648408
02-06-80,2.3365,-0.002561366,-0.001113814
03-06-80,2.303,-0.014337685,-0.006271847
04-06-80,2.3215,0.008033,0.00347475
05-06-80,2.3305,0.003876804,0.001680419
06-06-80,2.3318,0.00055782,0.000242191
09-06-80,2.3505,0.008019556,0.003468958
10-06-80,2.3327,-0.007572857,-0.003301366
11-06-80,2.3348,0.000900244,0.000390795
12-06-80,2.3385,0.001584718,0.00068769
13-06-80,2.3425,0.001710498,0.000742225
16-06-80,2.3405,-0.000853789,-0.000370954
